theta_deg,kink_severity,mean_gradient_jump,whole_domain_relL2_res64,whole_domain_std_res64,near_kink_relL2_res64,near_kink_std_res64,whole_domain_relL2_res128,whole_domain_std_res128,near_kink_relL2_res128,near_kink_std_res128,whole_domain_relL2_res256,whole_domain_std_res256,near_kink_relL2_res256,near_kink_std_res256,whole_domain_relL2_res512,whole_domain_std_res512,near_kink_relL2_res512,near_kink_std_res512
180,0,0.0,0.48582700073719026,0.0712541390354565,0.0,0.0,0.49810839056968687,0.06870595774581383,0.0,0.0,0.4838873338699341,0.06988550661129178,0.0,0.0,0.4874741894006729,0.06721992323353959,0.0,0.0
150,30,75.21211726232792,0.4969683641195297,0.06571228935469248,0.45625279456377027,0.2599101905019824,0.4897348815202713,0.06226467238508418,0.4724366217851639,0.38513953780285526,0.4647668296098709,0.08136984594608623,0.4431532448530197,0.39328715559334115,0.48090215027332306,0.0724843061046435,0.3765146277099848,0.27533210491207794
120,60,76.04936426556948,0.4936422348022461,0.07462223541155,0.4006430134177208,0.33139270308583363,0.47756571173667905,0.07587299875882877,0.36529882699251176,0.183542291646346,0.4950015503168106,0.06832830286388195,0.40642115473747253,0.2162596036880889,0.4905156797170639,0.07428691717345987,0.35603711262345317,0.18974791535907298
90,90,71.12785345315102,0.5076188814640045,0.06114273805217847,0.4450606928765774,0.37938111258169505,0.5016291558742523,0.0700119639173924,0.5166027505695819,0.5526658907371577,0.4834779530763626,0.07638266871561682,0.45586635403335096,0.4989809330025707,0.47952669620513916,0.07142810765485778,0.3894461583346128,0.25368004160787383
60,120,79.71420330363271,0.48733564794063566,0.06654961641452957,0.5191717496514321,0.530654200147274,0.5049523144960404,0.06777406357906891,0.4188620003312826,0.16826068948911801,0.4863408297300339,0.07830272210443749,0.41268297389149666,0.20434279579240594,0.4923601543903351,0.07401306626777478,0.38463879212737084,0.19146745759763345
30,150,53.9782077950353,0.4918464523553848,0.060076707478727266,0.4890927545726299,0.31972325873478225,0.4964919972419739,0.06708538757118358,0.5300548523664474,0.5398165180041482,0.5012454551458358,0.06602625236329707,0.45776098921895025,0.3858122950455855,0.4877670329809189,0.07510594739033445,0.44520716086030004,0.2745891501724862
10,170,73.11298314057325,0.4985936164855957,0.07058518513345326,0.45444296061992645,0.3036990810192979,0.48647092282772064,0.07684403584994637,0.43064576886594297,0.20114579082812523,0.4836908519268036,0.07113749807300306,0.5050662714242935,0.5647350953354513,0.48854045271873475,0.06930322064883943,0.43345568716526034,0.2563226833851198
