theta,pixel_fraction_near_kink_5pct,whole_domain_relL2,near_kink_relL2,far_from_kink_relL2
180,0.009799331333663572,0.3957923412322998,0.8056792631745339,0.3949875235557556
150,0.006512281119108118,0.37631618678569795,0.4146367907524109,0.37606186270713804
120,0.006392966782301224,0.35367621183395387,0.5679294377565384,0.3532765120267868
90,0.00670874223768699,0.3607651799917221,0.46325232535600663,0.36069531738758087
60,0.006391727606014634,0.396759369969368,0.7428302466869354,0.39657900035381316
30,0.0058367251545644065,0.4012616127729416,0.46492516696453096,0.40156118869781493
10,0.005853143885794457,0.38944644033908843,0.7539486393332482,0.3895292401313782
