epoch,train_whole_loss,train_kink_loss,val_whole_loss,val_kink_loss,train_total_loss,val_total_loss,train_rel_l2,val_rel_l2
1,0.5367426269979619,0.5063617756117635,0.5338349411884944,0.45781881660223006,51.172920198582894,46.3157166014115,0.5367426269979619,0.5338349411884944
2,0.4861342952322604,0.4499668156922753,0.5248277132709821,0.45590794235467913,45.48281587059818,46.11562194873889,0.4861342952322604,0.5248277132709821
3,0.4758961936431145,0.44539392723966,0.4659777104854584,0.4552980554600557,45.01528883976723,45.99578325649103,0.4758961936431145,0.4659777104854584
4,0.46186526693514923,0.44308096828745375,0.4789072925845782,0.4487482210000356,44.76996201472496,45.353729392588136,0.46186526693514923,0.4789072925845782
5,0.4543654850169794,0.44288054402194804,0.4794329062104225,0.4476888542373975,44.74241974674054,45.24831832995017,0.4543654850169794,0.4794329062104225
6,0.45231226869483493,0.4416291621193957,0.44117169876893364,0.4492976034681002,44.61522841382383,45.370932045578954,0.45231226869483493,0.44117169876893364
7,0.4501411241381916,0.4429176351027702,0.4261456901828448,0.4454175442457199,44.74190472275463,44.96790011475483,0.4501411241381916,0.4261456901828448
8,0.44908063473986154,0.44076109670881014,0.4414463937282562,0.4476976821819941,44.525190330619246,45.211214611927666,0.44908063473986154,0.4414463937282562
9,0.4467257200781979,0.4416973417374625,0.4623532861471176,0.4456431070963542,44.616459906279154,45.02666399578254,0.4467257200781979,0.4623532861471176
10,0.4481198951379577,0.43991538112732903,0.4492660328745842,0.4481390615304311,44.43965798563032,45.26317218591769,0.4481198951379577,0.4492660328745842
11,0.44753189140291355,0.4418679839194711,0.4634733994801839,0.4475512360533079,44.63433031110621,45.218597004810974,0.44753189140291355,0.4634733994801839
12,0.44451278875123207,0.4400168757830093,0.4567041754722595,0.4474892588953177,44.44620029392527,45.20563006500403,0.44451278875123207,0.4567041754722595
13,0.4519042356690364,0.43872110496706035,0.4036515936255455,0.46384587983290354,44.3240147377128,46.7882395769159,0.4519042356690364,0.4036515936255455
14,0.4403056170513381,0.43960082668866685,0.4546576564510663,0.4459193284312884,44.40038808566421,45.04659049957991,0.4403056170513381,0.4546576564510663
15,0.44191571598622337,0.4385944604873657,0.4689183384180069,0.4473700652519862,44.30136177290731,45.20592486361662,0.44191571598622337,0.4689183384180069
16,0.441956378185927,0.43836697277738085,0.47492766976356504,0.4473804379502932,44.278653637330926,45.212971464792886,0.441956378185927,0.47492766976356504
17,0.4491570707577378,0.4378050313956702,0.4289326881368955,0.45159929543733596,44.22966009111547,45.58886223187049,0.4491570707577378,0.4289326881368955
18,0.4400324229873828,0.4366371080501756,0.4539914309978485,0.4465032830834389,44.103743020812075,45.10431973934173,0.4400324229873828,0.4539914309978485
19,0.4425035737343688,0.43504932905311017,0.43902648041645687,0.45090133051077524,43.94743640387236,45.52915953149398,0.4425035737343688,0.43902648041645687
20,0.43954413346390225,0.43584578726718676,0.4668138936161995,0.4518544932206472,44.02412275627478,45.65226321568092,0.43954413346390225,0.4668138936161995
21,0.4491836120833212,0.4347260394203129,0.4321660076578458,0.45265949666500094,43.92178734736656,45.69811567415794,0.4491836120833212,0.4321660076578458
22,0.44208669413381546,0.43283900956609356,0.4349328046043714,0.45144316951433816,43.72598757387987,45.57924975603819,0.44208669413381546,0.4349328046043714
23,0.43952017399802135,0.43317644836297675,0.4489137296875318,0.4498495618502299,43.757164997840995,45.43386991471052,0.43952017399802135,0.4489137296875318
24,0.4425622786158946,0.43040624607854816,0.47181211014588675,0.4556757241487503,43.48318686983479,46.039384525020914,0.4425622786158946,0.47181211014588675
25,0.44602797582967957,0.43004874880634136,0.4407779301206271,0.4552815062304338,43.450902739567546,45.968928553164005,0.44602797582967957,0.4407779301206271
26,0.4450811868283286,0.42859611004146175,0.4373063504695892,0.4563038066029549,43.304692157346814,46.06768701076508,0.4450811868283286,0.4373063504695892
27,0.4437680627872695,0.42697360315429633,0.4576928069194158,0.4591403146584829,43.14112848310328,46.37172427276771,0.4437680627872695,0.4576928069194158
28,0.44386683577921854,0.42444326281547545,0.47600777993599575,0.45905833641688026,42.88819309063812,46.381841421624024,0.44386683577921854,0.47600777993599575
29,0.44517522792317976,0.42372548526792386,0.43456437240044277,0.4628460846841335,42.81772374964472,46.7191728408138,0.44517522792317976,0.43456437240044277
30,0.44190465985839045,0.4208871462451878,0.45699266344308853,0.46189621885617577,42.530619134475934,46.646614549060665,0.44190465985839045,0.45699266344308853
31,0.4482535348899329,0.41918285956133655,0.42800377011299134,0.47196884229779246,42.36653949680613,47.62488799989224,0.4482535348899329,0.42800377011299134
32,0.4418656330500076,0.41673344355910574,0.4623995964725812,0.4642580767472585,42.11520984706594,46.88820727119843,0.4418656330500076,0.4623995964725812
33,0.444632197227051,0.4150539571669564,0.4466106514135996,0.46146808316310245,41.95002789283866,46.59341896772384,0.444632197227051,0.4466106514135996
34,0.450575549744848,0.41219841962430015,0.42834005107482276,0.4733647170166175,41.67041738140049,47.76481175273657,0.450575549744848,0.42834005107482276
35,0.441278008471674,0.41255162545104523,0.4364910398920377,0.4780551311870416,41.696440454739246,48.2420041585962,0.441278008471674,0.4364910398920377
36,0.44591779014957483,0.40835226031381694,0.4503684381643931,0.47272775967915853,41.281143689511424,47.72314440608025,0.44591779014957483,0.4503684381643931
37,0.4460616436467242,0.4070299799762555,0.4388197839260101,0.47924966712792716,41.14905960310751,48.363786496718724,0.4460616436467242,0.4388197839260101
38,0.4468425874389819,0.40417388045965735,0.4615565657615662,0.4766947790980339,40.864230659826475,48.13103447556496,0.4468425874389819,0.4615565657615662
39,0.44333527817654966,0.40260168838856825,0.45211395223935447,0.47880709866682686,40.703503936084346,48.33282381892204,0.44333527817654966,0.45211395223935447
40,0.4440712316712337,0.400630675945709,0.468668354054292,0.4735213945309321,40.50713882446289,47.8208078071475,0.4440712316712337,0.468668354054292
41,0.44572738560278025,0.3978113477354619,0.4358110715945562,0.4941442874570688,40.22686207330049,49.850239817301436,0.44572738560278025,0.4358110715945562
42,0.4458638628916954,0.39521376597347546,0.4500516697764397,0.48655372659365337,39.96724022253236,49.105424329141776,0.4458638628916954,0.4500516697764397
43,0.4464460936944876,0.39210796760978983,0.4473934546113014,0.4825857942303022,39.65724262408356,48.70597287764152,0.4464460936944876,0.4473934546113014
44,0.44748282975225306,0.39014709912129303,0.45748265236616137,0.4920691306392352,39.46219270620773,49.664395716289675,0.44748282975225306,0.45748265236616137
45,0.4463295016715776,0.38792784431977057,0.4499477008978526,0.48788238763809205,39.23911377066997,49.238186464707056,0.4463295016715776,0.4499477008978526
46,0.4466057031012293,0.38548566596721534,0.45511885633071264,0.48896761735280353,38.99517232980301,49.351880591611064,0.4466057031012293,0.45511885633071264
47,0.44768539186733874,0.3815464845344202,0.44800205479065575,0.5002541681130727,38.60233381470638,50.47341886609792,0.44768539186733874,0.44800205479065575
48,0.44950008347852904,0.3792804122415941,0.4366491640607516,0.5004953816533089,38.37754124314038,50.48618732939164,0.44950008347852904,0.4366491640607516
49,0.44553685819924765,0.3773802566439358,0.45172345687945686,0.496249986688296,38.18356251503105,50.076722125709054,0.44553685819924765,0.45172345687945686
50,0.44813345403813604,0.3729197485678232,0.4519548917810122,0.5068224375446637,37.740108142681976,51.134198646247384,0.44813345403813604,0.4519548917810122
51,0.4483735779328133,0.3711736710658714,0.4469300046563148,0.5004738390445709,37.565740619488615,50.4943139091134,0.4483735779328133,0.4469300046563148
52,0.4515785991255917,0.36841707852349354,0.4460853780309359,0.5017049799362818,37.293286463040026,50.61658337165912,0.4515785991255917,0.4460853780309359
53,0.44793786228592714,0.36606570984890213,0.4516618599494298,0.5070972080032031,37.05450894370008,51.161382660269744,0.44793786228592714,0.4516618599494298
54,0.44970567840248793,0.36229763813872834,0.44802472442388536,0.5062442938486735,36.67946949289806,51.07245410929124,0.44970567840248793,0.44802472442388536
55,0.4493990413288572,0.3600026223196912,0.4474763716260592,0.5160236289103826,36.4496613345929,52.049839262664314,0.4493990413288572,0.4474763716260592
56,0.4506803537482646,0.35588899855293443,0.4687967856725057,0.5036148364345233,36.039580188580416,50.830280429124834,0.4506803537482646,0.4687967856725057
57,0.450542339104325,0.3536763985655201,0.46283864478270215,0.5063138097524643,35.81818204851293,51.09421962002913,0.450542339104325,0.46283864478270215
58,0.4511273274670786,0.35170047340998006,0.45529835919539136,0.5037823935349782,35.621174558952674,50.833537712693214,0.4511273274670786,0.45529835919539136
59,0.4514758284412213,0.3487484164647202,0.45857027570406594,0.5215127368768057,35.32631753380619,52.609843963384634,0.4514758284412213,0.45857027570406594
60,0.45093130487114635,0.34466937673625664,0.4595672736565272,0.5278349945942561,34.917868987126134,53.24306673308213,0.45093130487114635,0.4595672736565272
61,0.45350537718232,0.3423476024794934,0.45766980896393455,0.5244961097836495,34.68826549017607,52.90728078732888,0.45350537718232,0.45766980896393455
62,0.45231040120124816,0.3398940812740753,0.4569172665476799,0.517319044470787,34.441718702173944,52.18882171362638,0.45231040120124816,0.4569172665476799
63,0.4525776737661504,0.3371082216056425,0.45429685761531197,0.5248419125874837,34.16339992124643,52.93848811636368,0.4525776737661504,0.45429685761531197
64,0.4535991703396413,0.3346260574771397,0.4538758749763171,0.531675930817922,33.91620499340456,53.62146895676852,0.4535991703396413,0.4538758749763171
65,0.4536038801741244,0.3322048265987368,0.4626456598440806,0.5290330956379573,33.67408652803791,53.36595522363981,0.4536038801741244,0.4626456598440806
66,0.4552551051573967,0.3279102832078934,0.46116808652877805,0.5227918818593025,33.24628348279355,52.740356272459024,0.4552551051573967,0.46116808652877805
67,0.4562874237103249,0.3254493706261934,0.4570595895250638,0.5259359776973724,33.00122439256355,53.05065735926231,0.4562874237103249,0.4570595895250638
68,0.4554061190405888,0.32237496829744594,0.4594221199552218,0.532726438343525,32.69290285822171,53.732065954307714,0.4554061190405888,0.4594221199552218
69,0.4555109376337991,0.3193072996032772,0.4514160657922427,0.5294039671619734,32.38624085952986,53.39181278198958,0.4555109376337991,0.4514160657922427
70,0.4555924513446751,0.3186775318277416,0.45115798463424045,0.5360903710126876,32.323345599957364,54.060195085903004,0.4555924513446751,0.45115798463424045
71,0.45660985254529696,0.3152154255713989,0.45634217162926993,0.5354913234710693,31.978152505675357,54.0054745187362,0.45660985254529696,0.45634217162926993
72,0.45836021526535947,0.3128761188307805,0.46091136485338213,0.535002509256204,31.745972015608604,53.96116229047378,0.45836021526535947,0.46091136485338213
73,0.45717611312866213,0.3094783940422001,0.4637156461675962,0.5395447134971618,31.405015524109796,54.41818699588377,0.45717611312866213,0.4637156461675962
74,0.4581603695207567,0.30733697396605764,0.4619222606221835,0.5399251898129781,31.1918577678168,54.454441241919994,0.4581603695207567,0.4619222606221835
75,0.45976233046446274,0.30559047860885735,0.4599098910888036,0.5454730888207754,31.01881020958744,55.00721877316634,0.45976233046446274,0.4599098910888036
76,0.4600215603166552,0.30214370840521,0.46214768638213477,0.5553910419344902,30.674392284564117,56.00125187983115,0.4600215603166552,0.46214768638213477
77,0.46032994167128605,0.2987496638475959,0.46603403935829796,0.5455356046557427,30.335296286397906,55.01959450493257,0.46032994167128605,0.46603403935829796
78,0.46152635946202636,0.2965797708550496,0.4685743769009908,0.5472549721598625,30.1195035222751,55.19407159288724,0.46152635946202636,0.4685743769009908
79,0.4626472038119587,0.29426663851560053,0.4621313711007436,0.5417042344808578,29.88931107022869,54.632554819186524,0.4626472038119587,0.4621313711007436
80,0.4625745276906597,0.2930244690891522,0.4643969168265661,0.5585221270720164,29.765021463650378,56.31660962402821,0.4625745276906597,0.4643969168265661
81,0.4635748163088044,0.2913793598538014,0.4611528237660726,0.5533985669414202,29.601510654278655,55.80100951790809,0.4635748163088044,0.4611528237660726
82,0.46449623721749034,0.2884857377899227,0.4634715124964714,0.5513351500034332,29.313069915771486,55.59698651283979,0.46449623721749034,0.4634715124964714
83,0.4640777028318661,0.2845672424159833,0.46902882953484853,0.570141875743866,28.920801954127068,57.483216403921446,0.4640777028318661,0.46902882953484853
84,0.4659413353720708,0.2834236629418473,0.4682213748494784,0.5544890120625496,28.808307599309664,55.917122581104444,0.4659413353720708,0.4682213748494784
85,0.46653913748798087,0.28131744510202267,0.4719485938549042,0.5505881369113922,28.598283631054322,55.530762284994125,0.46653913748798087,0.4719485938549042
86,0.4673856867783105,0.2785040399921474,0.47056759844223656,0.5431826119621594,28.317789681278057,54.78882879465818,0.4673856867783105,0.47056759844223656
87,0.4676336058929785,0.2764888711384873,0.47031223177909853,0.5523537625869115,28.11652071369228,55.705688490470244,0.4676336058929785,0.47031223177909853
88,0.4670207073439413,0.2740672764048648,0.46803965667883557,0.5542869662245115,27.873748232713385,55.89673627912998,0.4670207073439413,0.46803965667883557
89,0.4680638509010201,0.2730088269977427,0.4753563458720843,0.5543781777222951,27.76894662486973,55.9131741181016,0.4680638509010201,0.4753563458720843
90,0.4687720311221792,0.2710085631306492,0.47166337619225185,0.5585816785693168,27.569628351126145,56.32983123312394,0.4687720311221792,0.47166337619225185
91,0.4702485968817526,0.2699688477302665,0.46884082853794096,0.5634129663308461,27.46713331991167,56.81013746162256,0.4702485968817526,0.46884082853794096
92,0.4691783365918629,0.2673915918193646,0.4845801611741384,0.5623117407162984,27.20833755322357,56.71575423280398,0.4691783365918629,0.4845801611741384
93,0.4720306708741544,0.2654155563062696,0.4758985305825869,0.5601771454016368,27.013586334684003,56.493613070746264,0.4720306708741544,0.4758985305825869
94,0.4706748111924129,0.26298158315580283,0.47075641552607217,0.5619427328308423,26.76883315470681,56.665029698610304,0.4706748111924129,0.47075641552607217
95,0.4718628041779817,0.2630942771683878,0.4740245824058851,0.5632224828004837,26.781290518347898,56.79627286245425,0.4718628041779817,0.4740245824058851
96,0.47224648470309244,0.25978390389858785,0.4724282388885816,0.5636688590049743,26.450636812466293,56.83931413938601,0.47224648470309244,0.4724282388885816
97,0.47282005788674997,0.2584402567859906,0.4719387456774712,0.5630245372653008,26.316845600640598,56.774392472207545,0.47282005788674997,0.4719387456774712
98,0.4742140471935272,0.25627930902723056,0.4765535265207291,0.5652129337191582,26.10214485908622,56.99784689843655,0.4742140471935272,0.4765535265207291
